INSTNM,STABBR,UGDS,COSTT4_A,C150_4
University of the District of Columbia,DC,2912,19905,0.3515
Gallaudet University,DC,910,39402,0.4367
George Washington University,DC,10798,77900,0.848
Georgetown University,DC,7343,81515,0.9561
Howard University,DC,9243,48214,0.7
Trinity Washington University,DC,1369,32886,0.3801
The Baptist College of Florida,FL,254,19539,0.5938
Barry University,FL,2539,44485,0.3904
Bethune-Cookman University,FL,2628,29551,0.3471
Lynn University,FL,2789,58188,0.5209
Albizu University-Miami,FL,217,36515,0.6667
Johnson University Florida,FL,154,29073,0.4857
University of Central Florida,FL,57874,22662,0.7558
South University-West Palm Beach,FL,303,25718,0.087
Eckerd College,FL,1986,65354,0.6754
Edward Waters University,FL,1142,26598,0.303
Embry-Riddle Aeronautical University-Daytona Beach,FL,7155,57754,0.6348
Florida Agricultural and Mechanical University,FL,7436,23985,0.6041
Florida Atlantic University,FL,23074,20118,0.6214
Flagler College,FL,2591,38585,0.5717
AdventHealth University,FL,917,35258,0.5469
Florida Institute of Technology,FL,3114,57630,0.6702
Florida International University,FL,39277,19666,0.6918
Florida Memorial University,FL,1098,31302,0.3547
Florida Southern College,FL,2702,55055,0.6812
Florida State University,FL,32691,23308,0.8479
University of Florida,FL,33673,21359,0.9001
Full Sail University,FL,25526,37873,0.4105
Hobe Sound Bible College,FL,165,17228,0.3125
AI Miami International University of Art and Design,FL,866,39876,0.1473
Jacksonville University,FL,2541,58927,0.5313
University of Miami,FL,12215,73776,0.8411
University of North Florida,FL,13866,18984,0.6767
Nova Southeastern University,FL,6885,53370,0.6198
Palm Beach Atlantic University,FL,2396,52625,0.5631
Ringling College of Art and Design,FL,1704,73962,0.7662
Rollins College,FL,2567,70679,0.777
Saint Leo University,FL,6717,40214,0.4934
University of South Florida,FL,36763,21383,0.7412
St. Thomas University,FL,1896,50684,0.4264
Stetson University,FL,2517,67631,0.6366
Southeastern University,FL,4931,42569,0.4267
Talmudic College of Florida,FL,33,31000,0.5455
The University of Tampa,FL,9593,48273,0.6572
Trinity Baptist College,FL,319,23973,0.2892
Trinity College of Florida,FL,175,25298,0.04
Warner University,FL,738,39677,0.4045
Webber International University,FL,1093,46822,0.3277
The University of West Florida,FL,8806,18357,0.5306
Abraham Baldwin Agricultural College,GA,3160,13323,0.3971
Agnes Scott College,GA,923,58167,0.7684
The Art Institute of Atlanta,GA,456,42388,0.1375
Point University,GA,1041,34203,0.2555
Clark Atlanta University,GA,3419,39446,0.462
Berry College,GA,2232,54975,0.6473
Brenau University,GA,1184,45992,0.457
Brewton-Parker College,GA,646,34951,0.1974
College of Coastal Georgia,GA,2812,18167,0.2292
Clayton  State University,GA,4540,17613,0.3449
Columbus State University,GA,5637,20838,0.434
Covenant College,GA,808,51713,0.7396
Dalton State College,GA,4260,11918,0.224
South University-Savannah,GA,195,28993,0.1429
Emmanuel College,GA,730,33421,0.3739
Emory University,GA,7017,75594,0.8999
Fort Valley State University,GA,2347,20211,0.4555
Georgia Institute of Technology-Main Campus,GA,17379,29148,0.926
Georgia Southwestern State University,GA,2092,19915,0.3621
Georgia College & State University,GA,5185,28118,0.6237
Georgia Southern University,GA,20996,22652,0.5274
Georgia State University,GA,28439,27149,0.549
University of Georgia,GA,30566,27821,0.8811
LaGrange College,GA,597,46803,0.5064
Life University,GA,910,40129,0.3125
Mercer University,GA,4568,55068,0.7351
Morehouse College,GA,2564,48890,0.5898
Morris Brown College,GA,252,19079,0.25
Oglethorpe University,GA,1426,57647,0.571
Paine College,GA,299,27632,0.1782
Piedmont University,GA,1212,42631,0.4835
Reinhardt University,GA,1014,42776,0.3743
Savannah College of Art and Design,GA,13352,58970,0.7253
Savannah State University,GA,2648,17228,0.2831
Shorter University,GA,1121,33819,0.3186
Spelman College,GA,3098,47717,0.7401
Thomas University,GA,726,18420,0.6703
Toccoa Falls College,GA,835,33983,0.4638
Truett McConnell University,GA,828,35484,0.4633
Valdosta State University,GA,7277,20694,0.4031
Wesleyan College,GA,510,39010,0.4563
University of West Georgia,GA,7939,23870,0.4324
Young Harris College,GA,837,44631,0.4923
Chaminade University of Honolulu,HI,1505,41667,0.6641
University of Hawaii at Hilo,HI,2381,21526,0.4246
University of Hawaii at Manoa,HI,13915,22185,0.6233
Hawaii Pacific University,HI,2650,49353,0.4499
University of Hawaii-West Oahu,HI,2491,15528,0.3271
Boise Bible College,ID,95,25426,0.4688
Boise State University,ID,16979,23497,0.5968
Idaho State University,ID,6830,20725,0.3714
University of Idaho,ID,7120,22108,0.611
The College of Idaho,ID,1052,47926,0.5992
Lewis-Clark State College,ID,2344,17295,0.3516
Northwest Nazarene University,ID,1115,46897,0.5817
Brigham Young University-Idaho,ID,42213,12807,0.5382
American Academy of Art College,IL,111,44105,0.5893
School of the Art Institute of Chicago,IL,2819,72278,0.6677
Augustana College,IL,2274,59262,0.7762
Aurora University,IL,3987,38012,0.5975
Blackburn College,IL,342,35726,0.3571
Bradley University,IL,4133,50881,0.761
Chicago State University,IL,1364,21961,0.2763
University of Chicago,IL,7511,84126,0.9558
Columbia College Chicago,IL,6378,45611,0.4723
Concordia University-Chicago,IL,1285,44022,0.4832
DePaul University,IL,13968,57824,0.6935
East-West University,IL,529,29168,0.116
Eastern Illinois University,IL,4586,25334,0.5464
Elmhurst University,IL,2897,51455,0.6352
Eureka College,IL,544,38968,0.5359
Governors State University,IL,2589,20901,0.2066
Greenville University,IL,902,43239,0.575
Hebrew Theological College,IL,73,21196,0.2045
University of Illinois Chicago,IL,21567,24375,0.6162
Benedictine University,IL,2026,46422,0.5344
University of Illinois Urbana-Champaign,IL,34031,31636,0.8469
Illinois Wesleyan University,IL,1518,66835,0.7948
Illinois College,IL,1011,46023,0.6735
Illinois Institute of Technology,IL,2877,67233,0.75
Illinois State University,IL,18019,32151,0.6698
