INSTNM,STABBR,UGDS,COSTT4_A,C150_4
Pennsylvania State University-Penn State Schuylkill,PA,593,27788,0.2637
Pennsylvania State University-Penn State York,PA,662,26650,0.1014
Peirce College,PA,761,18260,0.0526
Pennsylvania Academy of the Fine Arts,PA,114,63997,0.5
Pennsylvania College of Art and Design,PA,236,39413,0.6
University of Pennsylvania,PA,10572,83298,0.9609
The University of the Arts,PA,1160,67900,0.6602
Cairn University-Langhorne,PA,780,44533,0.5586
University of Pittsburgh-Bradford,PA,1051,28611,0.4165
University of Pittsburgh-Greensburg,PA,1323,28051,0.3863
University of Pittsburgh-Johnstown,PA,2039,27754,0.4832
University of Pittsburgh-Pittsburgh Campus,PA,19954,35928,0.8371
Point Park University,PA,2410,49275,0.5877
Robert Morris University,PA,2738,48084,0.6475
Rosemont College,PA,446,34813,0.4317
Saint Francis University,PA,1639,56242,0.7164
Saint Joseph's University,PA,4978,63376,0.8205
Saint Vincent College,PA,1335,53487,0.7615
University of Scranton,PA,3515,65421,0.7994
Seton Hill University,PA,1615,52892,0.7163
Shippensburg University of Pennsylvania,PA,4283,27961,0.5018
Slippery Rock University of Pennsylvania,PA,6707,24328,0.6647
Saint Charles Borromeo Seminary-Overbrook,PA,32,43331,0.5882
Susquehanna University,PA,2139,69479,0.7567
Swarthmore College,PA,1619,75793,0.9372
Talmudical Yeshiva of Philadelphia,PA,123,20980,0.6053
Temple University,PA,23697,33768,0.7791
Thiel College,PA,776,50257,0.4332
Thomas Jefferson University,PA,3739,60556,0.6756
Ursinus College,PA,1505,73603,0.7304
University of Valley Forge,PA,489,40922,0.4231
Villanova University,PA,6926,77650,0.9063
Washington & Jefferson College,PA,1139,64529,0.7413
Waynesburg University,PA,1066,39689,0.5962
West Chester University of Pennsylvania,PA,14014,28335,0.7164
Westminster College,PA,1023,51406,0.6216
Widener University,PA,2513,64456,0.6786
Wilkes University,PA,1904,56215,0.5936
Wilson College,PA,635,37890,0.5039
Yeshivath Beth Moshe,PA,35,17500,0.8889
York College of Pennsylvania,PA,3219,34433,0.6492
Brown University,RI,7222,82570,0.9499
Bryant University,RI,3193,65678,0.8252
Johnson & Wales University-Providence,RI,4135,55633,0.5851
Providence College,RI,3959,73779,0.8561
Rhode Island College,RI,4596,18709,0.4389
University of Rhode Island,RI,13828,31804,0.7159
Rhode Island School of Design,RI,2108,77280,0.9101
Roger Williams University,RI,3971,58334,0.6639
Salve Regina University,RI,2174,64895,0.7555
Northpoint Bible College,MA,181,32474,0.3137
Allen University,SC,603,25042,0.0815
Anderson University,SC,2960,45980,0.6033
Charleston Southern University,SC,2771,42810,0.437
Benedict College,SC,1726,29926,0.198
Bob Jones University,SC,2374,32671,0.6916
Southern Wesleyan University,SC,798,37082,0.5967
College of Charleston,SC,9667,30468,0.6466
Citadel Military College of South Carolina,SC,2658,30690,0.7037
Claflin University,SC,1730,33658,0.5
Clemson University,SC,22467,34001,0.8532
Coker University,SC,773,44864,0.4173
Columbia International University,SC,775,38781,0.7
Columbia College,SC,1136,34974,0.5548
Converse University,SC,804,34643,0.5714
Erskine College,SC,817,53405,0.4638
Francis Marion University,SC,2684,22683,0.3923
Furman University,SC,2278,69678,0.8541
Lander University,SC,3360,25593,0.449
Limestone University,SC,1551,42472,0.2539
Morris College,SC,384,29101,0.2385
Newberry College,SC,1292,43485,0.4947
North Greenville University,SC,1651,38625,0.5365
Presbyterian College,SC,877,55950,0.6341
University of South Carolina Aiken,SC,2817,20783,0.4237
University of South Carolina Beaufort,SC,1885,23345,0.3846
University of South Carolina-Columbia,SC,26840,28844,0.7832
Coastal Carolina University,SC,9495,25333,0.4797
South Carolina State University,SC,2351,29886,0.3436
University of South Carolina-Upstate,SC,4046,24523,0.4321
Voorhees University,SC,473,26282,0.36
Winthrop University,SC,3376,29729,0.6093
Wofford College,SC,1823,67045,0.825
Augustana University,SD,1759,51613,0.7553
Black Hills State University,SD,1933,20843,0.443
Dakota State University,SD,1894,22651,0.4869
Dakota Wesleyan University,SD,632,40906,0.5337
Mount Marty University,SD,693,44064,0.5673
National American University-Rapid City,SD,922,28827,0.3333
Northern State University,SD,1258,22455,0.508
Presentation College,SD,586,37503,0.2681
South Dakota School of Mines and Technology,SD,2047,25988,0.5589
South Dakota State University,SD,8627,22447,0.5926
University of Sioux Falls,SD,1299,31730,0.5926
University of South Dakota,SD,5265,23178,0.5722
American Baptist College,TN,52,27208,0.25
Austin Peay State University,TN,7054,25804,0.4324
Baptist Health Sciences University,TN,777,21043,0.5846
Belmont University,TN,7349,58305,0.7247
Bethel University,TN,2906,26998,0.4499
Bryan College-Dayton,TN,882,28662,0.5146
Carson-Newman University,TN,1426,43885,0.5624
Christian Brothers University,TN,1032,45249,0.5982
Cumberland University,TN,1934,40945,0.4855
Lipscomb University,TN,2950,51502,0.693
East Tennessee State University,TN,9772,24278,0.5514
Fisk University,TN,1009,39142,0.561
Welch College,TN,247,32937,0.5926
Freed-Hardeman University,TN,1384,35735,0.6975
Johnson University,TN,668,30442,0.6565
King University,TN,1065,44974,0.4633
Lane College,TN,1010,23553,0.1788
Le Moyne-Owen College,TN,605,18458,0.1809
Lee University,TN,2932,32673,0.6285
Lincoln Memorial University,TN,1461,37976,0.5085
The University of Tennessee Southern,TN,787,26042,0.3028
Maryville College,TN,977,52089,0.5327
University of Memphis,TN,14181,23875,0.4826
Middle Tennessee State University,TN,16239,21922,0.5459
Rhodes College,TN,1966,66266,0.8501
The University of the South,TN,1599,66480,0.8148
Southern Adventist University,TN,2439,37289,0.5173
Tennessee Wesleyan University,TN,906,35673,0.5
The University of Tennessee-Chattanooga,TN,9820,23504,0.5235
The University of Tennessee-Knoxville,TN,26905,32658,0.7258
The University of Tennessee-Martin,TN,4629,21744,0.5263
Tennessee State University,TN,7346,23482,0.3243
Tennessee Technological University,TN,8341,23699,0.6015
Trevecca Nazarene University,TN,1738,36993,0.6127
Tusculum University,TN,981,42041,0.3395
Union University,TN,1731,56891,0.6657
Vanderbilt University,TN,7144,79538,0.9277
Abilene Christian University,TX,3141,55221,0.6032
Angelo State University,TX,5314,21174,0.4077
Arlington Baptist University,TX,216,26940,0.2381
The Art Institute of Houston,TX,317,40128,0.4083
Austin College,TX,1166,57746,0.7304
Baylor University,TX,15134,68535,0.8143
Concordia University Texas,TX,1571,49494,0.3889
Texas A & M University-Corpus Christi,TX,7818,23200,0.3507
Dallas Baptist University,TX,2674,46367,0.5662
Dallas Christian College,TX,245,34925,0.3667
University of Dallas,TX,1446,63310,0.7197
East Texas Baptist University,TX,1324,40625,0.4191
Texas A&M University-Texarkana,TX,1758,21204,0.2995
Texas A & M University-Commerce,TX,7317,22475,0.4273
Miami International University of Art & Design-Art Institute Dallas,TX,263,40240,0.064
Hardin-Simmons University,TX,1323,45285,0.5791
Houston Baptist University,TX,2814,46360,0.4931
University of Houston-Clear Lake,TX,6343,28856,0.5374
University of Houston-Downtown,TX,12752,23217,0.3088
University of Houston-Victoria,TX,2699,21218,0.233
University of Houston,TX,37080,24130,0.6308
Howard Payne University,TX,721,42707,0.3211
Huston-Tillotson University,TX,991,25026,0.3172
University of the Incarnate Word,TX,4547,45505,0.5322
Jarvis Christian University,TX,729,25149,0.1599
Lamar University,TX,8075,21570,0.377
Texas A & M International University,TX,6459,16313,0.4945
LeTourneau University,TX,1553,47233,0.6692
Lubbock Christian University,TX,1221,38261,0.4875
University of Mary Hardin-Baylor,TX,3013,45330,0.4987
McMurry University,TX,1092,42284,0.3732
Midwestern State University,TX,4421,21876,0.4101
University of North Texas,TX,33023,24696,0.5892
Our Lady of the Lake University,TX,1163,40626,0.385
The University of Texas Rio Grande Valley,TX,26420,17988,0.5282
Paul Quinn College,TX,938,21678,0.2893
Prairie View A & M University,TX,8103,25775,0.4147
Rice University,TX,4480,71745,0.9363
Saint Edward's University,TX,2751,63671,0.6508
University of St Thomas,TX,2524,42639,0.6581
Sam Houston State University,TX,18184,23962,0.5609
Schreiner University,TX,1056,45167,0.4983
St. Mary's University,TX,1991,45724,0.5597
Southern Methodist University,TX,7044,79885,0.8231
Southwestern Assemblies of God University,TX,1435,31917,0.4167
Southwestern University,TX,1480,61668,0.7158
Stephen F Austin State University,TX,8961,24402,0.5307
Texas State University,TX,33834,25797,0.5586
Southwestern Adventist University,TX,659,34060,0.4701
Sul Ross State University,TX,1495,22434,0.2607
Tarleton State University,TX,11880,22286,0.4581
Texas A & M University-Kingsville,TX,4562,22081,0.4404
Texas A & M University-College Station,TX,56792,31451,0.8354
The University of Texas at Arlington,TX,30503,24530,0.5348
The University of Texas at Austin,TX,40980,29361,0.8779
The University of Texas at Dallas,TX,21586,28456,0.6959
The University of Texas at El Paso,TX,20123,19344,0.473
The University of Texas at Tyler,TX,6568,22535,0.4405
Texas Christian University,TX,10510,71425,0.8372
Texas College,TX,642,21437,0.1591
Texas Lutheran University,TX,1307,45182,0.536
The University of Texas Permian Basin,TX,4060,22113,0.3975
The University of Texas at San Antonio,TX,29112,21660,0.5351
Texas Southern University,TX,6830,24679,0.2625
Texas Tech University,TX,32346,27249,0.6375
Texas Wesleyan University,TX,1549,43598,0.3256
Texas Woman's University,TX,8876,20019,0.482
Trinity University,TX,2491,63684,0.7576
Wayland Baptist University,TX,2138,34453,0.1899
West Texas A & M University,TX,6828,22672,0.4502
Wiley College,TX,698,20235,0.2392
Brigham Young University,UT,31411,19819,0.7865
Brigham Young University-Hawaii,HI,2716,21369,0.6637
Utah Tech University,UT,8606,18982,0.3556
Eagle Gate College-Murray,UT,248,33644,0.625
Utah State University,UT,20573,20770,0.5439
University of Utah,UT,25392,18891,0.6455
Westminster College,UT,955,54750,0.6454
Bennington College,VT,733,80648,0.6923
Castleton University,VT,1585,25878,0.5401
Champlain College,VT,3031,61248,0.645
Goddard College,VT,105,27933,0.5714
Northern Vermont University,VT,1266,25648,0.3817
Middlebury College,VT,2751,78820,0.9354
Norwich University,VT,2706,62955,0.6106
Saint Michael's College,VT,1200,65051,0.7445
Sterling College,VT,86,52300,0.2963
University of Vermont,VT,11326,35179,0.7576
Averett University,VA,1121,50240,0.4599
Bluefield University,VA,615,41528,0.3146
Bridgewater College,VA,1379,53800,0.5783
William & Mary,VA,6778,40624,0.9095
Regent University,VA,4281,29448,0.5458
Christopher Newport University,VA,4442,31162,0.7608
Emory & Henry College,VA,1080,52559,0.5775
Eastern Mennonite University,VA,826,53834,0.6261
Ferrum College,VA,780,52268,0.2816
George Mason University,VA,26447,26268,0.7059
Hampden-Sydney College,VA,846,66868,0.7527
Hampton University,VA,2846,46123,0.4632
Hollins University,VA,689,56698,0.6563
James Madison University,VA,19968,29043,0.8115
Liberty University,VA,48408,41963,0.6558
Longwood University,VA,3009,31501,0.6656
University of Lynchburg,VA,1543,47371,0.5988
Mary Baldwin University,VA,1298,43096,0.4513
University of Mary Washington,VA,3443,29268,0.6877
Marymount University,VA,1764,50922,0.6059
Norfolk State University,VA,5328,26039,0.3986
Old Dominion University,VA,18152,26060,0.4826
Radford University,VA,5945,25873,0.5396
Randolph-Macon College,VA,1476,59197,0.7399
Randolph College,VA,461,42574,0.4973
University of Richmond,VA,3069,74354,0.8798
Roanoke College,VA,1801,65345,0.7134
Shenandoah University,VA,2104,49610,0.6256
Southeastern Free Will Baptist Bible College,NC,74,20111,0.3158
Southern Virginia University,VA,1053,31394,0.4608
Sweet Briar College,VA,451,40846,0.6119
University of Virginia's College at Wise,VA,993,23546,0.4494
Virginia Polytechnic Institute and State University,VA,30339,28064,0.8642
Virginia Commonwealth University,VA,20552,33388,0.6451
University of Virginia-Main Campus,VA,17103,36314,0.9522
Virginia Military Institute,VA,1512,33182,0.7687
Virginia University of Lynchburg,VA,479,24613,0.8718
Virginia State University,VA,4295,23673,0.379
Virginia Union University,VA,1297,29361,0.3913
Virginia Wesleyan University,VA,1154,50638,0.4399
Washington and Lee University,VA,1861,80300,0.9483
Central Washington University,WA,8650,25435,0.5226
Cornish College of the Arts,WA,416,52653,0.5291
Eastern Washington University,WA,6938,22226,0.4955
The Evergreen State College,WA,1799,24688,0.4109
Gonzaga University,WA,5018,66149,0.8809
Heritage University,WA,796,25946,0.4495
Northwest University,WA,662,45835,0.6751
Pacific Lutheran University,WA,2253,60866,0.7179
University of Puget Sound,WA,1712,73002,0.7611
Saint Martin's University,WA,1344,54442,0.6017
Seattle Pacific University,WA,2409,51895,0.654
Seattle University,WA,4033,66095,0.7434
Walla Walla University,WA,1234,42392,0.6279
Washington State University,WA,22265,26396,0.6201
University of Washington-Seattle Campus,WA,30931,28650,0.8437
Western Washington University,WA,13686,26158,0.6534
Whitman College,WA,1472,71982,0.9037
Whitworth University,WA,2037,63427,0.7568
Alderson Broaddus University,WV,633,44217,0.3385
Appalachian Bible College,WV,182,28102,0.5854
Bethany College,WV,594,47610,0.4207
Bluefield State University,WV,1244,18445,0.3521
University of Charleston,WV,2330,43177,0.4175
Concord University,WV,1311,18362,0.403
Davis & Elkins College,WV,644,43278,0.4842
Fairmont State University,WV,2776,17238,0.4639
Glenville State University,WV,1257,23819,0.3302
Marshall University,WV,6965,20327,0.4973
Salem University,WV,756,21566,0.2863
Shepherd University,WV,2325,18205,0.4785
West Virginia State University,WV,1362,19182,0.3543
West Liberty University,WV,1648,22394,0.61240000000000006
West Virginia University Institute of Technology,WV,1038,18060,0.3378
West Virginia Wesleyan College,WV,886,47149,0.5349
West Virginia University,WV,18370,22810,0.6212
Wheeling University,WV,578,41602,0.704
Alverno College,WI,717,42812,0.5283
Bellin College,WI,346,30905,0.7568
Beloit College,WI,921,66936,0.712
Cardinal Stritch University,WI,526,45740,0.5152
Carroll University,WI,2689,48464,0.6702
Carthage College,WI,2541,46744,0.6468
Concordia University-Wisconsin,WI,2556,47970,0.6639
Edgewood College,WI,1127,47807,0.6245
Lakeland University,WI,1281,45519,0.5183
Lawrence University,WI,1411,65910,0.7802
Maranatha Baptist University,WI,571,29409,0.5596
Marian University,WI,1058,39345,0.5131
Marquette University,WI,7290,61926,0.8252
Milwaukee Institute of Art & Design,WI,895,50250,0.5665
Milwaukee School of Engineering,WI,2562,57411,0.7104
Mount Mary University,WI,640,46622,0.6017
Northland College,WI,508,53032,0.5419
Ripon College,WI,754,59356,0.5613
Saint Norbert College,WI,1784,54466,0.7153
Viterbo University,WI,1456,42691,0.6077
University of Wisconsin-Whitewater,WI,8893,18326,0.6166
University of Wisconsin-Eau Claire,WI,9138,20478,0.6528
University of Wisconsin-Green Bay,WI,6305,17641,0.5231
University of Wisconsin-La Crosse,WI,9137,17946,0.6979
Wisconsin Lutheran College,WI,990,45903,0.6711
University of Wisconsin-Oshkosh,WI,7812,18642,0.5757
University of Wisconsin-Parkside,WI,2969,15328,0.4006
University of Wisconsin-Stout,WI,6176,20440,0.5192
University of Wisconsin-Superior,WI,2021,18487,0.4016
University of Wisconsin-Madison,WI,35184,27100,0.8923
University of Wisconsin-Milwaukee,WI,17076,21812,0.4787
University of Wisconsin-Platteville,WI,5920,19916,0.6107
University of Wisconsin-River Falls,WI,4327,18312,0.5908
University of Wisconsin-Stevens Point,WI,6995,18407,0.5602
University of Wyoming,WY,8363,21423,0.6088
University of Guam,GU,2629,14380,0.3773
Stanford University,CA,7761,78898,0.9511
Purdue University-Main Campus,IN,38438,22508,0.8304
Parker University,TX,411,31277,0.8824
St. John's College,NM,364,51688,0.7164
Mid-America Christian University,OK,1415,29094,0.3926
Yeshiva Gedolah of Greater Detroit,MI,68,16533,0.7692
South University-Columbia,SC,420,30064,0.0769
University of Massachusetts Global,CA,4545,35619,0.5
New College of Florida,FL,669,22236,0.6261
Yeshivah Gedolah Rabbinical College,FL,44,17200,0.0833
University of Advancing Technology,AZ,802,30202,0.4487
California State University-San Marcos,CA,13844,19750,0.5666
Hodges University,FL,337,25380,0.1951
Nossi College of Art,TN,298,26907,0.5843
Yeshiva Gedolah Imrei Yosef D'spinka,NY,196,14400,0.5789
Northwest College of Art & Design,WA,119,28076,0.5625
University of Washington-Bothell Campus,WA,5166,23503,0.6883
University of Washington-Tacoma Campus,WA,4054,22627,0.5422
Provo College,UT,711,36448,0.5122
Beacon College,FL,469,64462,0.5758
University of the Potomac-Washington DC Campus,DC,228,20087,0.5
Everglades University,FL,2246,38573,0.5601
College of Biblical Studies-Houston,TX,205,16729,1
Soka University of America,CA,445,51096,0.875
World Mission University,CA,192,22025,0.3333
Rabbinical College of Ohr Shimon Yisroel,NY,237,21860,0.4667
Florida National University-Main Campus,FL,2465,29826,0.3422
California State University-Monterey Bay,CA,6129,20441,0.6145
Messenger College,TX,19,23025,0.1667
Arizona College of Nursing-Tempe,AZ,1177,35080,0.6
Embry-Riddle Aeronautical University-Worldwide,FL,8278,20778,0.1737
Strayer University-Maryland,MD,1298,23985,0.3571
American University of Health Sciences,CA,347,40135,0.6667
Western Governors University,UT,112807,14042,0.4878
California Aeronautical University,CA,330,47830,0.3182
Florida Gulf Coast University,FL,13788,17054,0.5853
International Baptist College and Seminary,AZ,55,27737,0.5455
University of Connecticut-Waterbury Campus,CT,751,20033,0.5992
University of Connecticut-Avery Point,CT,480,20905,0.5893
University of Connecticut-Stamford,CT,2246,25463,0.6356
American InterContinental University-Atlanta,GA,958,22061,0.1967
The King's University,TX,255,27335,0.52
Pacific Islands University,GU,68,13226,0.2222
Acupuncture and Massage College,FL,67,37935,0.6667
Pillar College,NJ,378,37989,0.4444
Oregon State University-Cascades Campus,OR,1040,25731,0.5833
Nevada State College,NV,4581,21983,0.3246
California State University-Channel Islands,CA,5717,23676,0.5668
Franklin W Olin College of Engineering,MA,356,79024,0.9367
University of Arkansas Grantham,AR,4598,15321,0.2473
Faith International University,WA,177,20830,0.1667
Family of Faith Christian University,OK,33,13632,0.25
West Coast University-Los Angeles,CA,2620,51618,1
Williamson Christian College,TN,46,28700,0.3333
DigiPen Institute of Technology,WA,1058,48239,0.601
Strayer University-Tennessee,TN,2598,23985,1
Baptist University of the Americas,TX,108,13183,0.1053
Beis Medrash Heichal Dovid,NY,145,19900,0.4103
American InterContinental University,AZ,10317,20088,0.2284
American InterContinental University-Houston,TX,122,24626,0.28
University of California-Merced,CA,8343,36949,0.6745
Neumont College of Computer Science,UT,517,38822,0.5922
Ave Maria University,FL,1230,41590,0.5038
Los Angeles College of Music,CA,239,48155,0.3488
Uta Mesivta of Kiryas Joel,NY,2590,21730,0.8475
Harrisburg University of Science and Technology,PA,629,34051,0.3182
Eagle Gate College-Layton,UT,223,36448,0.4651
Georgia Gwinnett College,GA,10451,17493,0.1966
SUM Bible College and Theological Seminary,CA,416,26270,0.4386
American Public University System,WV,37569,16779,0.5547
Bais Medrash Toras Chesed,NJ,110,12500,0.44
University of the West,CA,59,27218,0.2
South University-Tampa,FL,421,29812,0.1176
Columbia Southern University,AL,11208,16520,0.3261
Yeshivas Be'er Yitzchok,NJ,59,30150,0.2
Yeshiva Toras Chaim,NJ,213,21110,0.1818
Talmudical Seminary of Bobov,NY,459,18000,0.2692
The Art Institute of Austin,TX,78,44078,0.3373
Strayer University-North Carolina,NC,2646,23985,0.2857
The King's College,NY,290,58199,0.5625
Chamberlain University-Illinois,IL,11535,34822,0.375
Chamberlain University-Ohio,OH,537,40545,0.1111
Yeshiva of Machzikai Hadas,NY,431,29350,0.6585
Providence Christian College,CA,136,50947,0.3559
Polytechnic University of Puerto Rico-Orlando,FL,115,23701,0.2
University of Minnesota-Rochester,MN,617,26219,0.5862
Pacific Rim Christian University,HI,95,23502,0.5455
West Coast University-Orange County,CA,3023,36552,0.7333
West Coast University-Ontario,CA,2579,47991,0.6429
The Art Institute of Virginia Beach,VA,88,43151,0.3913
Strayer University-Georgia,GA,4319,23985,0.2917
Strayer University-South Carolina,SC,1625,23985,0.25
Strayer University-Texas,TX,2251,23985,0.1111
The Art Institute of San Antonio,TX,180,39220,0.1831
South University-Richmond,VA,274,30280,0.2143
South University-Virginia Beach,VA,205,33088,0.3333
Compass College of Film and Media,MI,50,27547,0.7045
Touro University Worldwide,CA,387,29149,0.5556
Herzing University-Kenosha,WI,626,27329,0.25
Herzing University-Brookfield,WI,390,27517,0.6
Texas A&M University-San Antonio,TX,6404,22127,0.314
Strayer University-Global Region,DC,8358,23985,0.3158
Chamberlain University-Virginia,VA,663,39462,1
New York Film Academy,CA,996,57666,0.6833
Manna University,NC,180,13882,0.75
Simmons College of Kentucky,KY,212,28538,0.2857
North American University,TX,453,22520,0.4366
John Paul the Great Catholic University,CA,300,47306,0.7297
University of Connecticut-Hartford Campus,CT,1500,23005,0.6219
Chamberlain University-Missouri,MO,375,36209,0.25
Chamberlain University-Texas,TX,2167,35342,0.75
Los Angeles Pacific University,CA,1352,28579,0.3103
South University-Savannah Online,GA,5738,29901,0.0604
Criswell College,TX,121,24744,0.7
Chamberlain University-Georgia,GA,1420,37943,1
Chamberlain University-Indiana,IN,202,40545,1
Bais HaMedrash and Mesivta of Baltimore,MD,86,22800,0.85
Be'er Yaakov Talmudic Seminary,NY,638,18214,0.5694
West Coast University-Dallas,TX,975,29530,0.6667
Pennsylvania State University-World Campus,PA,7798,25935,0.3628
South University-Austin,TX,288,33088,0.037
Warner Pacific University Professional and Graduate Studies,OR,269,23400,0.4167
California Miramar University,CA,99,15394,0.3
Yeshiva Gedolah Kesser Torah,NY,79,19300,0.4211
Yeshiva Yesodei Hatorah,NJ,67,18586,0.0526
South University-High Point,NC,47,35428,0.125
Augusta University,GA,5098,21924,0.5013
Middle Georgia State University,GA,6589,19127,0.2382
Veritas Baptist College,IN,123,12876,0.4
DeVry College of New York,NY,423,40652,0.2143
DeVry University-Arizona,AZ,60,40652,0.2222
DeVry University-California,CA,1582,37922,0.0893
DeVry University-Florida,FL,281,36277,0.1538
DeVry University-Georgia,GA,508,36036,0.1
DeVry University-North Carolina,NC,8,25440,0.3333
DeVry University-Ohio,OH,218,35193,0.2353
DeVry University-Texas,TX,84,33242,0.1667
DeVry University-Virginia,VA,59,40652,0.1429
University of North Georgia,GA,15815,17892,0.3856
Florida Polytechnic University,FL,1517,20179,0.4728
Antioch College,OH,127,49593,0.25
University of Florida-Online,FL,4650,17518,0.7871
University of Phoenix-Arizona,AZ,66792,18985,0.1808
Rabbinical College Ohr Yisroel,NY,115,15850,0.3947
University of North Texas at Dallas,TX,2923,20965,0.4397
West Coast University-Miami,FL,914,37131,0.2857
American College of the Building Arts,SC,141,36067,0.5333
Atlantis University,FL,443,22583,0.7313
Bet Medrash Gadol Ateret Torah,NY,91,16000,0.375
Yeshiva Ohr Yisrael,NY,23,17800,1
Yeshiva Sholom Shachna,NY,117,19450,0.381
Beth Medrash Meor Yitzchok,NY,189,22270,0.0377
San Ignacio University,FL,70,21605,0.8182
Bethany Global University,MN,222,28738,0.7534
California Jazz Conservatory,CA,23,44554,0.5
Kennesaw State University,GA,38051,24808,0.4642
Milligan University,TN,726,47587,0.634
Chamberlain University-Nevada,NV,567,43266,0.3333
Chamberlain University-Michigan,MI,637,40545,1
Hussian College-Los Angeles,CA,262,63440,0.5102
Arizona College of Nursing-Las Vegas,NV,1142,33698,0.75
Husson University,ME,2338,33378,0.599
Northwest University-Center for Online and Extended Education,WA,519,27153,0.381
Huntington University of Health Sciences,TN,39,28305,0.5
Seattle Film Institute,WA,69,48377,0.6667
Indiana Wesleyan University-National & Global,IN,5451,21901,0.4042
Chamberlain University-North Carolina,NC,268,40545,1
Purdue University Global,IN,33339,13945,0.2
Carolina University,NC,350,27373,0.3214
Presbyterian Theological Seminary in America,CA,36,15189,0.5
Los Angeles Academy of Figurative Art,CA,5,34694,0.3333
Westcliff University,CA,1817,31538,0.4444
Yeshiva Bais Aharon,NJ,12,15544,0.5714
Purdue University Northwest,IN,6083,15746,0.4435
Yeshiva Kollel Tifereth Elizer,NY,292,26124,0.1667
Union Bible College,IN,92,15001,0.5455
Yeshiva Gedolah Tiferes Boruch,NJ,69,15300,0.1538
Women's Institute of Torah Seminary and College,MD,134,28455,1
Yeshiva Gedolah of Cliffwood,NJ,64,15550,0.5714
Yeshivas Emek Hatorah,NJ,89,15150,0.3
Drury University-College of Continuing Professional Studies,MO,712,20255,0.1837
Yeshiva of Ocean,NY,40,14550,1
Congregation Talmidei Mesivta Tiferes Shmiel Aleksander,NY,175,25625,0.14
Yeshivat Hechal Shemuel,NY,59,18180,1
Christ Mission College,TX,47,14398,0.4375
Urshan College,MO,467,13598,0.5714
Yeshiva Yesoda Hatorah Vetz Chaim,NY,171,24800,0.2222
Oak Valley College,CA,45,19990,0.3846
Bridges Christian College,LA,60,20508,1
Commonwealth University of Pennsylvania,PA,9778,24881,0.5356
Pennsylvania Western University,PA,9203,25365,0.4813
