INSTNM,STABBR,UGDS,COSTT4_A,C150_4,ACCREDAGENCY,SCHTYPE
Pepperdine University,CA,3553,93512,0.8335,Western Association of Schools and Colleges Senior Colleges and University Commission,2
Pitzer College,CA,1227,86466,0.8339,Western Association of Schools and Colleges Senior Colleges and University Commission,2
Point Loma Nazarene University,CA,3188,60488,0.7717,Western Association of Schools and Colleges Senior Colleges and University Commission,2
Pomona College,CA,1666,85300,0.932,Western Association of Schools and Colleges Senior Colleges and University Commission,2
University of Redlands,CA,2049,76630,0.6727,Western Association of Schools and Colleges Senior Colleges and University Commission,2
San Diego State University,CA,35377,27780,0.7643,Western Association of Schools and Colleges Senior Colleges and University Commission,1
University of San Diego,CA,5671,78720,0.8367,Western Association of Schools and Colleges Senior Colleges and University Commission,2
San Francisco Conservatory of Music,CA,226,78781,0.7368,Western Association of Schools and Colleges Senior Colleges and University Commission,2
San Francisco State University,CA,18639,26488,0.5037,Western Association of Schools and Colleges Senior Colleges and University Commission,1
University of San Francisco,CA,5287,80141,0.7006,Western Association of Schools and Colleges Senior Colleges and University Commission,2
William Jessup University,CA,1294,53703,0.5598,Western Association of Schools and Colleges Senior Colleges and University Commission,2
San Jose State University,CA,27601,26593,0.6922,Western Association of Schools and Colleges Senior Colleges and University Commission,1
Santa Clara University,CA,6552,82026,0.8792,Western Association of Schools and Colleges Senior Colleges and University Commission,2
Scripps College,CA,1113,87564,0.8254,Western Association of Schools and Colleges Senior Colleges and University Commission,2
Simpson University,CA,809,54688,0.4884,Western Association of Schools and Colleges Senior Colleges and University Commission,2
Saint Mary's College of California,CA,1947,77659,0.703,Western Association of Schools and Colleges Senior Colleges and University Commission,2
Sonoma State University,CA,5166,24648,0.5759,Western Association of Schools and Colleges Senior Colleges and University Commission,1
Vanguard University of Southern California,CA,1933,52665,0.5677,Western Association of Schools and Colleges Senior Colleges and University Commission,2
Southern California Institute of Architecture,CA,236,71612,0.7143,Western Association of Schools and Colleges Senior Colleges and University Commission,2
University of Southern California,CA,20443,90300,0.9183,Western Association of Schools and Colleges Senior Colleges and University Commission,2
Thomas Aquinas College,CA,566,43426,0.843,Western Association of Schools and Colleges Senior Colleges and University Commission,2
Westmont College,CA,1302,71150,0.7035,Western Association of Schools and Colleges Senior Colleges and University Commission,2
Whittier College,CA,764,63664,0.5996,Western Association of Schools and Colleges Senior Colleges and University Commission,2
Woodbury University,CA,779,58010,0.6,Western Association of Schools and Colleges Senior Colleges and University Commission,2
Adams State University,CO,1250,24352,0.3942,Higher Learning Commission,1
University of Colorado Denver/Anschutz Medical Campus,CO,10519,24902,0.4615,Higher Learning Commission,1
University of Colorado Colorado Springs,CO,8697,24595,0.4693,Higher Learning Commission,1
University of Colorado Boulder,CO,31939,37684,0.7419,Higher Learning Commission,1
Colorado Christian University,CO,5549,54242,0.6441,Higher Learning Commission,2
Colorado College,CO,2014,86921,0.8766,Higher Learning Commission,2
Colorado School of Mines,CO,6155,40560,0.8171,Higher Learning Commission,1
Colorado State University-Fort Collins,CO,25538,31642,0.6651,Higher Learning Commission,1
Colorado Technical University-Colorado Springs,CO,28086,23744,0.1878,Higher Learning Commission,3
University of Denver,CO,6025,78476,0.756,Higher Learning Commission,2
Fort Lewis College,CO,3079,27030,0.3564,Higher Learning Commission,1
Metropolitan State University of Denver,CO,15002,24622,0.3154,Higher Learning Commission,1
Naropa University,CO,339,53397,0.3667,Higher Learning Commission,2
University of Northern Colorado,CO,5598,29254,0.5124,Higher Learning Commission,1
Regis University,CO,2627,54800,0.6102,Higher Learning Commission,2
Rocky Mountain College of Art and Design,CO,2050,37505,0.3176,Higher Learning Commission,3
Colorado State University Pueblo,CO,3042,23937,0.3973,Higher Learning Commission,1
United States Air Force Academy,CO,4114,NA,0.8751,Higher Learning Commission,1
Western Colorado University,CO,1586,25736,0.505,Higher Learning Commission,1
Albertus Magnus College,CT,991,59407,0.5148,New England Commission on Higher Education,2
University of Bridgeport,CT,1534,52957,0.4119,New England Commission on Higher Education,2
Central Connecticut State University,CT,7822,24870,0.4844,New England Commission on Higher Education,1
Charter Oak State College,CT,1821,23210,0.6667,New England Commission on Higher Education,1
Connecticut College,CT,1937,84623,0.8205,New England Commission on Higher Education,2
University of Connecticut,CT,19835,39426,0.8329,New England Commission on Higher Education,1
Eastern Connecticut State University,CT,3418,31983,0.5752,New England Commission on Higher Education,1
Fairfield University,CT,5373,76074,0.843,New England Commission on Higher Education,2
University of Hartford,CT,4146,64729,0.5438,New England Commission on Higher Education,2
Holy Apostles College and Seminary,CT,216,17990,0.7857,New England Commission on Higher Education,2
Mitchell College,CT,377,55621,0.4218,New England Commission on Higher Education,2
University of New Haven,CT,4841,66962,0.6307,New England Commission on Higher Education,2
Post University,CT,13603,28897,0.2493,New England Commission on Higher Education,3
Quinnipiac University,CT,6531,72215,0.757,New England Commission on Higher Education,2
Sacred Heart University,CT,7087,69289,0.7346,New England Commission on Higher Education,2
University of Saint Joseph,CT,838,59900,0.6376,New England Commission on Higher Education,2
Southern Connecticut State University,CT,6295,29673,0.4993,New England Commission on Higher Education,1
Trinity College,CT,2146,87840,0.8377,New England Commission on Higher Education,2
Wesleyan University,CT,3067,89020,0.9264,New England Commission on Higher Education,2
Western Connecticut State University,CT,3511,24877,0.5176,New England Commission on Higher Education,1
Yale University,CT,6758,88300,0.9574,New England Commission on Higher Education,2
Delaware State University,DE,4398,27939,0.391,Middle States Commission on Higher Education,1
University of Delaware,DE,19071,30952,0.8055,Middle States Commission on Higher Education,1
Goldey-Beacom College,DE,691,26502,0.5743,Middle States Commission on Higher Education,2
Wilmington University,DE,7906,19644,0.1982,Middle States Commission on Higher Education,2
American University,DC,7266,76058,0.7549,Middle States Commission on Higher Education,2
The Catholic University of America,DC,3154,75481,0.7947,Middle States Commission on Higher Education,2
Gallaudet University,DC,812,40374,0.4726,Middle States Commission on Higher Education,2
George Washington University,DC,11182,83856,0.8398,Middle States Commission on Higher Education,2
Georgetown University,DC,7569,88741,0.9481,Middle States Commission on Higher Education,2
Howard University,DC,10108,54630,0.6996,Middle States Commission on Higher Education,2
Trinity Washington University,DC,1414,33903,0.4929,Middle States Commission on Higher Education,2
Baptist University of Florida,FL,360,23159,0.5185,Southern Association of Colleges and Schools Commission on Colleges,2
Barry University,FL,2212,50778,0.3787,Southern Association of Colleges and Schools Commission on Colleges,2
Bethune-Cookman University,FL,2732,29764,0.3052,Southern Association of Colleges and Schools Commission on Colleges,2
Lynn University,FL,2859,67880,0.5206,Southern Association of Colleges and Schools Commission on Colleges,2
University of Central Florida,FL,59146,23133,0.7801,Higher Learning Commission,1
Eckerd College,FL,1888,68944,0.6592,Southern Association of Colleges and Schools Commission on Colleges,2
Edward Waters University,FL,1087,26617,0.2819,Southern Association of Colleges and Schools Commission on Colleges,2
Embry-Riddle Aeronautical University-Daytona Beach,FL,7860,64632,0.6655,Southern Association of Colleges and Schools Commission on Colleges,2
Florida Agricultural and Mechanical University,FL,7582,23970,0.5335,Southern Association of Colleges and Schools Commission on Colleges,1
Florida Atlantic University,FL,23757,21522,0.6257,Southern Association of Colleges and Schools Commission on Colleges,1
Flagler College,FL,2391,45744,0.5598,Southern Association of Colleges and Schools Commission on Colleges,2
Florida College,FL,588,34870,0.5404,Southern Association of Colleges and Schools Commission on Colleges,2
AdventHealth University,FL,1361,38408,0.3889,Southern Association of Colleges and Schools Commission on Colleges,2
Florida Institute of Technology,FL,3404,62440,0.6354,Southern Association of Colleges and Schools Commission on Colleges,2
Florida International University,FL,39508,21462,0.7443,Southern Association of Colleges and Schools Commission on Colleges,1
Florida Memorial University,FL,1183,35809,0.311,Southern Association of Colleges and Schools Commission on Colleges,2
Florida Southern College,FL,2656,60768,0.7055,Southern Association of Colleges and Schools Commission on Colleges,2
Florida State University,FL,32212,25720,0.8561,Southern Association of Colleges and Schools Commission on Colleges,1
University of Florida,FL,35629,22523,0.9112,Southern Association of Colleges and Schools Commission on Colleges,1
Jacksonville University,FL,2930,63969,0.5065,Southern Association of Colleges and Schools Commission on Colleges,2
University of Miami,FL,12913,86078,0.8368,Southern Association of Colleges and Schools Commission on Colleges,2
University of North Florida,FL,13359,20983,0.6921,Southern Association of Colleges and Schools Commission on Colleges,1
Nova Southeastern University,FL,7240,56692,0.6334,Southern Association of Colleges and Schools Commission on Colleges,2
Palm Beach Atlantic University,FL,2603,53827,0.5534,Southern Association of Colleges and Schools Commission on Colleges,2
Ringling College of Art and Design,FL,1662,80276,0.7207,Southern Association of Colleges and Schools Commission on Colleges,2
Rollins College,FL,2631,76108,0.7505,Southern Association of Colleges and Schools Commission on Colleges,2
Saint Leo University,FL,6721,45264,0.45,Southern Association of Colleges and Schools Commission on Colleges,2
St. John Vianney College Seminary,FL,77,NA,1,Southern Association of Colleges and Schools Commission on Colleges,2
University of South Florida,FL,37207,22859,0.7676,Southern Association of Colleges and Schools Commission on Colleges,1
St. Thomas University,FL,2214,51205,0.4806,Southern Association of Colleges and Schools Commission on Colleges,2
Stetson University,FL,2297,72533,0.6229,Southern Association of Colleges and Schools Commission on Colleges,2
Southeastern University,FL,4813,49329,0.4255,Southern Association of Colleges and Schools Commission on Colleges,2
The University of Tampa,FL,10572,51614,0.637,Southern Association of Colleges and Schools Commission on Colleges,2
Warner University,FL,756,41044,0.4213,Southern Association of Colleges and Schools Commission on Colleges,2
Webber International University,FL,813,50989,0.2796,Southern Association of Colleges and Schools Commission on Colleges,2
University of West Florida,FL,9330,19947,0.588,Southern Association of Colleges and Schools Commission on Colleges,1
Abraham Baldwin Agricultural College,GA,3208,13956,0.3615,Southern Association of Colleges and Schools Commission on Colleges,1
Agnes Scott College,GA,836,63283,0.7068,Southern Association of Colleges and Schools Commission on Colleges,2
Albany State University,GA,5956,19333,0.3105,Southern Association of Colleges and Schools Commission on Colleges,1
Point University,GA,1996,33564,0.3407,Southern Association of Colleges and Schools Commission on Colleges,2
Clark Atlanta University,GA,3603,43676,0.4902,Southern Association of Colleges and Schools Commission on Colleges,2
Berry College,GA,2245,56697,0.6949,Southern Association of Colleges and Schools Commission on Colleges,2
Brenau University,GA,1029,46010,0.3291,Southern Association of Colleges and Schools Commission on Colleges,2
Clayton  State University,GA,4348,17415,0.3986,Southern Association of Colleges and Schools Commission on Colleges,1
Columbus State University,GA,5625,21676,0.4176,Southern Association of Colleges and Schools Commission on Colleges,1
Covenant College,GA,939,57467,0.7149,Southern Association of Colleges and Schools Commission on Colleges,2
Dalton State College,GA,4553,12719,0.2531,Southern Association of Colleges and Schools Commission on Colleges,1
South University-Savannah,GA,270,36577,0.0909,Southern Association of Colleges and Schools Commission on Colleges,3
Emmanuel University,GA,775,37604,0.4228,Southern Association of Colleges and Schools Commission on Colleges,2
Emory University,GA,7298,83622,0.9109,Southern Association of Colleges and Schools Commission on Colleges,2
Fort Valley State University,GA,2684,19879,0.4111,Southern Association of Colleges and Schools Commission on Colleges,1
Georgia Institute of Technology-Main Campus,GA,18785,28167,0.9402,Southern Association of Colleges and Schools Commission on Colleges,1
