INSTNM,STABBR,UGDS,COSTT4_A,C150_4,ACCREDAGENCY,SCHTYPE
University of Health Sciences and Pharmacy in St. Louis,MO,337,54802,0.6168,Higher Learning Commission,2
Southwest Baptist University,MO,1341,40301,0.5532,Higher Learning Commission,2
Stephens College,MO,391,46643,0.4274,Higher Learning Commission,2
Southeast Missouri State University,MO,6373,25177,0.5793,Higher Learning Commission,1
Missouri State University-Springfield,MO,13313,25048,0.5791,Higher Learning Commission,1
Washington University in St Louis,MO,7857,88488,0.9426,Higher Learning Commission,2
Webster University,MO,2304,51188,0.6439,Higher Learning Commission,2
Westminster College,MO,638,51532,0.5549,Higher Learning Commission,2
William Jewell College,MO,924,35785,0.6766,Higher Learning Commission,2
William Woods University,MO,1300,49094,0.4681,Higher Learning Commission,2
Bellevue University,NE,10220,23531,0.3295,Higher Learning Commission,2
Clarkson College,NE,622,24670,0.4667,Higher Learning Commission,2
Bryan College of Health Sciences,NE,553,32845,0.7,Higher Learning Commission,2
Chadron State College,NE,1540,21132,0.5041,Higher Learning Commission,1
Concordia University-Nebraska,NE,1283,53292,0.6489,Higher Learning Commission,2
Creighton University,NE,4348,63423,0.8336,Higher Learning Commission,2
Doane University,NE,978,57836,0.5714,Higher Learning Commission,2
Hastings College,NE,891,51422,0.4885,Higher Learning Commission,2
University of Nebraska at Kearney,NE,4088,25808,0.5774,Higher Learning Commission,1
Nebraska Methodist College of Nursing & Allied Health,NE,781,32835,0.5952,Higher Learning Commission,2
Midland University,NE,1159,55719,0.4212,Higher Learning Commission,2
University of Nebraska at Omaha,NE,11488,21120,0.4708,Higher Learning Commission,1
Nebraska Wesleyan University,NE,1453,53569,0.6612,Higher Learning Commission,2
University of Nebraska-Lincoln,NE,19178,26697,0.6697,Higher Learning Commission,1
Peru State College,NE,1092,22240,0.3761,Higher Learning Commission,1
College of Saint Mary,NE,445,35971,0.605,Higher Learning Commission,2
Union Adventist University,NE,471,42099,0.5226,Higher Learning Commission,2
Wayne State College,NE,3010,22565,0.5215,Higher Learning Commission,1
York University,NE,428,34268,0.5221,Higher Learning Commission,2
Colby-Sawyer College,NH,771,38527,0.5745,New England Commission on Higher Education,2
Dartmouth College,NH,4541,87793,0.9554,New England Commission on Higher Education,2
Franklin Pierce University,NH,992,64185,0.5351,New England Commission on Higher Education,2
New England College,NH,1022,59350,0.3451,New England Commission on Higher Education,2
Southern New Hampshire University,NH,163164,40918,0.4283,New England Commission on Higher Education,2
University of New Hampshire-Main Campus,NH,11261,35537,0.7607,New England Commission on Higher Education,1
Keene State College,NH,2699,29993,0.6006,New England Commission on Higher Education,1
Plymouth State University,NH,3153,29644,0.5203,New England Commission on Higher Education,1
Rivier University,NH,1231,53499,0.5167,New England Commission on Higher Education,2
Saint Anselm College,NH,2087,67213,0.8003,New England Commission on Higher Education,2
Thomas More College of Liberal Arts,NH,97,42082,0.625,New England Commission on Higher Education,2
Berkeley College-Woodland Park,NJ,1778,44691,0.4371,Middle States Commission on Higher Education,3
Caldwell University,NJ,1575,54073,0.5749,Middle States Commission on Higher Education,2
Centenary University,NJ,910,52362,0.5605,Middle States Commission on Higher Education,2
Drew University,NJ,1533,65301,0.7048,Middle States Commission on Higher Education,2
Fairleigh Dickinson University-Metropolitan Campus,NJ,2627,50305,0.5332,Middle States Commission on Higher Education,2
Felician University,NJ,1774,50316,0.4722,Middle States Commission on Higher Education,2
Georgian Court University,NJ,1195,50671,0.5357,Middle States Commission on Higher Education,2
Rowan University,NJ,15841,35842,0.6736,Middle States Commission on Higher Education,1
New Jersey City University,NJ,3681,28255,0.3389,Middle States Commission on Higher Education,1
Kean University,NJ,11433,26949,0.4657,Middle States Commission on Higher Education,1
Monmouth University,NJ,3684,62904,0.719,Middle States Commission on Higher Education,2
Montclair State University,NJ,18376,28305,0.6466,Middle States Commission on Higher Education,1
New Jersey Institute of Technology,NJ,9019,32859,0.7276,Middle States Commission on Higher Education,1
Princeton University,NJ,5709,84040,0.9761,Middle States Commission on Higher Education,2
Ramapo College of New Jersey,NJ,4898,29483,0.6981,Middle States Commission on Higher Education,1
Rider University,NJ,3106,55967,0.6133,Middle States Commission on Higher Education,2
Rutgers University-New Brunswick,NJ,37751,36993,0.8363,Middle States Commission on Higher Education,1
Saint Peter's University,NJ,2135,50272,0.5826,Middle States Commission on Higher Education,2
Seton Hall University,NJ,6036,68263,0.6949,Middle States Commission on Higher Education,2
Saint Elizabeth University,NJ,557,53075,0.511,Middle States Commission on Higher Education,2
Stevens Institute of Technology,NJ,4222,79790,0.8688,Middle States Commission on Higher Education,2
Stockton University,NJ,7537,35139,0.6854,Middle States Commission on Higher Education,1
The College of New Jersey,NJ,7105,38860,0.8585,Middle States Commission on Higher Education,1
William Paterson University of New Jersey,NJ,6614,28476,0.4396,Middle States Commission on Higher Education,1
Eastern New Mexico University-Main Campus,NM,3357,18940,0.4509,Higher Learning Commission,1
Institute of American Indian and Alaska Native Culture and Arts Development,NM,334,24854,0.1463,Higher Learning Commission,1
New Mexico Highlands University,NM,1451,20868,0.2618,Higher Learning Commission,1
New Mexico Institute of Mining and Technology,NM,995,24967,0.5705,Higher Learning Commission,1
University of New Mexico-Main Campus,NM,17244,21259,0.5469,Higher Learning Commission,1
New Mexico State University-Main Campus,NM,11946,23274,0.5517,Higher Learning Commission,1
University of the Southwest,NM,346,28210,0.1698,Higher Learning Commission,2
Western New Mexico University,NM,2026,21562,0.3223,Higher Learning Commission,1
Adelphi University,NY,5276,63189,0.6715,Middle States Commission on Higher Education,2
Albany College of Pharmacy and Health Sciences,NY,481,54899,0.6754,Middle States Commission on Higher Education,2
Alfred University,NY,1423,57445,0.5698,Middle States Commission on Higher Education,2
Bard College,NY,2414,84553,0.6756,Middle States Commission on Higher Education,2
Barnard College,NY,3264,89538,0.9302,Middle States Commission on Higher Education,2
Berkeley College-New York,NY,1449,45041,0.4401,Middle States Commission on Higher Education,3
Mount Sinai Phillips School of Nursing,NY,311,NA,1,Middle States Commission on Higher Education,2
Boricua College,NY,391,24213,0.806,Middle States Commission on Higher Education,2
Canisius University,NY,1685,44322,0.6639,Middle States Commission on Higher Education,2
Clarkson University,NY,2196,79022,0.7491,Middle States Commission on Higher Education,2
Colgate University,NY,3180,87070,0.9117,New England Commission on Higher Education,2
Metropolitan College of New York,NY,402,34203,0.4,Middle States Commission on Higher Education,2
Columbia University in the City of New York,NY,8973,89472,0.961,Middle States Commission on Higher Education,2
The Cooper Union for the Advancement of Science and Art,NY,842,64190,0.8111,Middle States Commission on Higher Education,2
Cornell University,NY,15995,88140,0.9538,Middle States Commission on Higher Education,2
CUNY Bernard M Baruch College,NY,16154,14170,0.7212,Middle States Commission on Higher Education,1
CUNY Brooklyn College,NY,10543,14151,0.5386,Middle States Commission on Higher Education,1
College of Staten Island CUNY,NY,9657,14795,0.3393,Middle States Commission on Higher Education,1
CUNY City College,NY,12505,14403,0.5682,Middle States Commission on Higher Education,1
CUNY Hunter College,NY,16289,13905,0.5686,Middle States Commission on Higher Education,1
CUNY John Jay College of Criminal Justice,NY,11590,14212,0.5583,Middle States Commission on Higher Education,1
CUNY Lehman College,NY,10696,14121,0.5128,Middle States Commission on Higher Education,1
CUNY Medgar Evers College,NY,3233,14771,0.1977,Middle States Commission on Higher Education,1
CUNY New York City College of Technology,NY,13580,14110,0.2147,Middle States Commission on Higher Education,1
CUNY Queens College,NY,12550,14367,0.5325,Middle States Commission on Higher Education,1
CUNY York College,NY,4345,14330,0.3225,Middle States Commission on Higher Education,1
D'Youville  University,NY,1258,48539,0.67490000000000006,Middle States Commission on Higher Education,2
Daemen University,NY,1643,45192,0.5888,Middle States Commission on Higher Education,2
Dominican University New York,NY,1105,47802,0.5251,Middle States Commission on Higher Education,2
Elmira College,NY,708,52449,0.6471,Middle States Commission on Higher Education,2
Five Towns College,NY,547,42458,0.5532,Middle States Commission on Higher Education,3
Fordham University,NY,10512,82762,0.8191,Middle States Commission on Higher Education,2
Hamilton College,NY,2030,84230,0.9063,New England Commission on Higher Education,2
Hartwick College,NY,1087,68614,0.5332,Middle States Commission on Higher Education,2
Hilbert College,NY,921,42114,0.5631,Middle States Commission on Higher Education,2
Hobart William Smith Colleges,NY,1786,82602,0.7725,New England Commission on Higher Education,2
Hofstra University,NY,6488,70624,0.6854,Middle States Commission on Higher Education,2
Houghton University,NY,753,31143,0.6522,Middle States Commission on Higher Education,2
Iona University,NY,2951,60247,0.56,Middle States Commission on Higher Education,2
Ithaca College,NY,4242,68699,0.7623,Middle States Commission on Higher Education,2
Jewish Theological Seminary of America,NY,172,85945,0.9032,Middle States Commission on Higher Education,2
The Juilliard School,NY,468,83892,0.9256,Middle States Commission on Higher Education,2
Keuka College,NY,966,54760,0.5836,Middle States Commission on Higher Education,2
LIM College,NY,1187,53064,0.5087,Middle States Commission on Higher Education,3
Le Moyne College,NY,2439,53183,0.7313,Middle States Commission on Higher Education,2
Long Island University,NY,5520,55424,0.5707,Middle States Commission on Higher Education,2
Manhattan University,NY,2744,64348,0.6371,Middle States Commission on Higher Education,2
Manhattan School of Music,NY,539,77703,0.7832,Middle States Commission on Higher Education,2
Manhattanville University,NY,1362,53499,0.5842,Middle States Commission on Higher Education,2
Marist University,NY,5182,67574,0.796,Middle States Commission on Higher Education,2
Marymount Manhattan College,NY,1577,65767,0.4904,Middle States Commission on Higher Education,2
Mercy University,NY,5735,32596,0.4571,Middle States Commission on Higher Education,2
Molloy University,NY,3162,50720,0.6993,Middle States Commission on Higher Education,2
Mount Saint Mary College,NY,1148,55014,0.6546,Middle States Commission on Higher Education,2
University of Mount Saint Vincent,NY,2692,54170,0.5683,Middle States Commission on Higher Education,2
Nazareth University,NY,1873,58254,0.7279,Middle States Commission on Higher Education,2
The New School,NY,6563,88284,0.6937,Middle States Commission on Higher Education,2
New York University,NY,28663,84374,0.8757,Middle States Commission on Higher Education,2
Niagara University,NY,2653,51632,0.7451,Middle States Commission on Higher Education,2
New York Institute of Technology,NY,3440,56976,0.5877,Middle States Commission on Higher Education,2
Pace University,NY,7665,69550,0.6003,Middle States Commission on Higher Education,2
Paul Smiths College of Arts and Science,NY,579,51506,0.5055,Middle States Commission on Higher Education,2
Davis College,NY,106,24830,0.2667,Middle States Commission on Higher Education,2
Pratt Institute-Main,NY,3910,80049,0.7354,Middle States Commission on Higher Education,2
Rensselaer Polytechnic Institute,NY,5714,82404,0.8362,Middle States Commission on Higher Education,2
Roberts Wesleyan University,NY,1149,52919,0.6667,Middle States Commission on Higher Education,2
Rochester Institute of Technology,NY,13215,74626,0.6989,Middle States Commission on Higher Education,2
University of Rochester,NY,6331,85962,0.8543,Middle States Commission on Higher Education,2
Russell Sage College,NY,1244,50607,0.561,Middle States Commission on Higher Education,2
St Bonaventure University,NY,2012,57271,0.6673,Middle States Commission on Higher Education,2
St. Francis College,NY,1684,38098,0.5464,Middle States Commission on Higher Education,2
St Lawrence University,NY,1918,82000,0.7906,Middle States Commission on Higher Education,2
St. Thomas Aquinas College,NY,972,53370,0.5404,Middle States Commission on Higher Education,2
Sarah Lawrence College,NY,1530,82467,0.7133,New England Commission on Higher Education,2
Siena University,NY,3409,64870,0.7473,Middle States Commission on Higher Education,2
Skidmore College,NY,2694,85270,0.8257,Middle States Commission on Higher Education,2
St. Joseph's University-New York,NY,3144,41897,0.6878,Middle States Commission on Higher Education,2
St. John Fisher University,NY,2565,55201,0.7417,Middle States Commission on Higher Education,2
St. John's University-New York,NY,9477,65527,0.6609,Middle States Commission on Higher Education,2
SUNY College of Technology at Canton,NY,2741,24906,0.3845,Middle States Commission on Higher Education,1
SUNY College of Agriculture and Technology at Cobleskill,NY,1904,27786,0.4234,Middle States Commission on Higher Education,1
Farmingdale State College,NY,9552,18966,0.5278,Middle States Commission on Higher Education,1
University at Albany,NY,12564,28802,0.6145,Middle States Commission on Higher Education,1
Binghamton University,NY,14655,30345,0.8162,Middle States Commission on Higher Education,1
University at Buffalo,NY,20112,30785,0.7518,Middle States Commission on Higher Education,1
Stony Brook University,NY,18101,30539,0.7556,Middle States Commission on Higher Education,1
SUNY College of Environmental Science and Forestry,NY,1839,28133,0.6632,Middle States Commission on Higher Education,1
SUNY Polytechnic Institute,NY,1849,23741,0.5508,Middle States Commission on Higher Education,1
SUNY Brockport,NY,5784,26046,0.5513,Middle States Commission on Higher Education,1
SUNY Buffalo State University,NY,5097,24279,0.3331,Middle States Commission on Higher Education,1
State University of New York at Cortland,NY,5901,28108,0.6803,Middle States Commission on Higher Education,1
SUNY at Fredonia,NY,2755,25879,0.5021,Middle States Commission on Higher Education,1
SUNY College at Geneseo,NY,3869,27709,0.7145,Middle States Commission on Higher Education,1
State University of New York at New Paltz,NY,6086,28428,0.716,Middle States Commission on Higher Education,1
SUNY Oneonta,NY,4643,28821,0.6881,Middle States Commission on Higher Education,1
State University of New York at Oswego,NY,5473,27052,0.6036,Middle States Commission on Higher Education,1
SUNY College at Potsdam,NY,1823,25083,0.453,Middle States Commission on Higher Education,1
SUNY at Purchase College,NY,3197,29043,0.6277,Middle States Commission on Higher Education,1
SUNY Old Westbury,NY,4162,21287,0.4457,Middle States Commission on Higher Education,1
State University of New York at Plattsburgh,NY,3769,28244,0.5851,Middle States Commission on Higher Education,1
Empire State University,NY,7585,19699,0.4123,Middle States Commission on Higher Education,1
SUNY Maritime College,NY,1285,29786,0.6439,Middle States Commission on Higher Education,1
Syracuse University,NY,15477,84517,0.8361,Middle States Commission on Higher Education,2
Touro University,NY,4040,40500,0.7239,Middle States Commission on Higher Education,2
Union College,NY,2046,84561,0.8039,Middle States Commission on Higher Education,2
United States Merchant Marine Academy,NY,962,9168,0.8238,Middle States Commission on Higher Education,1
Utica University,NY,2278,37205,0.5624,Middle States Commission on Higher Education,2
Vassar College,NY,2444,87419,0.9108,Middle States Commission on Higher Education,2
Villa Maria College,NY,603,36335,0.3145,Middle States Commission on Higher Education,2
School of Visual Arts,NY,3244,78051,0.7568,Middle States Commission on Higher Education,3
Wagner College,NY,1651,65574,0.6514,Middle States Commission on Higher Education,2
Webb Institute,NY,106,81950,0.88,Middle States Commission on Higher Education,2
The College of Westchester,NY,759,31660,0.3765,Middle States Commission on Higher Education,3
Yeshiva University,NY,2852,70892,0.832,Middle States Commission on Higher Education,2
Appalachian State University,NC,19444,23169,0.7453,Southern Association of Colleges and Schools Commission on Colleges,1
Barton College,NC,982,51935,0.4585,Southern Association of Colleges and Schools Commission on Colleges,2
Belmont Abbey College,NC,1276,34788,0.4668,Southern Association of Colleges and Schools Commission on Colleges,2
Brevard College,NC,815,47288,0.4884,Southern Association of Colleges and Schools Commission on Colleges,2
Campbell University,NC,2680,62187,0.6096,Southern Association of Colleges and Schools Commission on Colleges,2
Catawba College,NC,1235,49516,0.4729,Southern Association of Colleges and Schools Commission on Colleges,2
Chowan University,NC,603,39027,0.2995,Southern Association of Colleges and Schools Commission on Colleges,2
Davidson College,NC,1867,79475,0.9107,Southern Association of Colleges and Schools Commission on Colleges,2
Duke University,NC,6442,87072,0.9678,Southern Association of Colleges and Schools Commission on Colleges,2
East Carolina University,NC,19896,23867,0.6262,Southern Association of Colleges and Schools Commission on Colleges,1
Elizabeth City State University,NC,1975,17701,0.4351,Southern Association of Colleges and Schools Commission on Colleges,1
Elon University,NC,6452,62266,0.8404,Southern Association of Colleges and Schools Commission on Colleges,2
Fayetteville State University,NC,5762,16652,0.3846,Southern Association of Colleges and Schools Commission on Colleges,1
Gardner-Webb University,NC,1856,47091,0.5539,Southern Association of Colleges and Schools Commission on Colleges,2
Greensboro College,NC,708,35165,0.462,Southern Association of Colleges and Schools Commission on Colleges,2
Guilford College,NC,1001,55689,0.4581,Southern Association of Colleges and Schools Commission on Colleges,2
High Point University,NC,5129,65548,0.737,Southern Association of Colleges and Schools Commission on Colleges,2
Johnson C Smith University,NC,1244,34923,0.3429,Southern Association of Colleges and Schools Commission on Colleges,2
Lees-McRae College,NC,873,49498,0.4208,Southern Association of Colleges and Schools Commission on Colleges,2
Lenoir-Rhyne University,NC,1359,44621,0.4778,Southern Association of Colleges and Schools Commission on Colleges,2
Livingstone College,NC,924,28305,0.2819,Southern Association of Colleges and Schools Commission on Colleges,2
Mars Hill University,NC,1044,50099,0.4487,Southern Association of Colleges and Schools Commission on Colleges,2
Meredith College,NC,1188,57313,0.7007,Southern Association of Colleges and Schools Commission on Colleges,2
Methodist University,NC,1448,55796,0.4351,Southern Association of Colleges and Schools Commission on Colleges,2
Montreat College,NC,762,47133,0.5031,Southern Association of Colleges and Schools Commission on Colleges,2
University of Mount Olive,NC,1796,38569,0.5178,Southern Association of Colleges and Schools Commission on Colleges,2
North Carolina A & T State University,NC,12182,20427,0.5718,Southern Association of Colleges and Schools Commission on Colleges,1
University of North Carolina Asheville,NC,2910,21685,0.5448,Southern Association of Colleges and Schools Commission on Colleges,1
University of North Carolina at Chapel Hill,NC,20752,26055,0.9117,Southern Association of Colleges and Schools Commission on Colleges,1
University of North Carolina at Charlotte,NC,24453,23010,0.6897,Southern Association of Colleges and Schools Commission on Colleges,1
University of North Carolina at Greensboro,NC,14062,21373,0.5631,Southern Association of Colleges and Schools Commission on Colleges,1
North Carolina Central University,NC,6081,26556,0.4165,Southern Association of Colleges and Schools Commission on Colleges,1
University of North Carolina School of the Arts,NC,945,26470,0.7778,Southern Association of Colleges and Schools Commission on Colleges,1
North Carolina State University at Raleigh,NC,27371,26425,0.8476,Southern Association of Colleges and Schools Commission on Colleges,1
North Carolina Wesleyan University,NC,1214,49974,0.4197,Southern Association of Colleges and Schools Commission on Colleges,2
University of North Carolina Wilmington,NC,14922,26547,0.7059,Southern Association of Colleges and Schools Commission on Colleges,1
William Peace University,NC,666,49362,0.4481,Southern Association of Colleges and Schools Commission on Colleges,2
University of North Carolina at Pembroke,NC,5330,17261,0.4354,Southern Association of Colleges and Schools Commission on Colleges,1
Pfeiffer University,NC,655,45542,0.3497,Southern Association of Colleges and Schools Commission on Colleges,2
Queens University of Charlotte,NC,1211,65742,0.6131,Southern Association of Colleges and Schools Commission on Colleges,2
Mid-Atlantic Christian University,NC,132,33011,0.2075,Southern Association of Colleges and Schools Commission on Colleges,2
Saint Augustine's University,NC,172,33179,0.25,Southern Association of Colleges and Schools Commission on Colleges,2
Salem College,NC,423,48532,0.5743,Southern Association of Colleges and Schools Commission on Colleges,2
Shaw University,NC,875,30861,0.2179,Southern Association of Colleges and Schools Commission on Colleges,2
Southeastern Baptist Theological Seminary,NC,585,22632,0.5806,Southern Association of Colleges and Schools Commission on Colleges,2
Wake Forest University,NC,5485,87499,0.8915,Southern Association of Colleges and Schools Commission on Colleges,2
Warren Wilson College,NC,707,56966,0.42,Southern Association of Colleges and Schools Commission on Colleges,2
Wingate University,NC,2668,57473,0.4635,Southern Association of Colleges and Schools Commission on Colleges,2
Winston-Salem State University,NC,4170,23147,0.4668,Southern Association of Colleges and Schools Commission on Colleges,1
Western Carolina University,NC,10024,19992,0.6026,Southern Association of Colleges and Schools Commission on Colleges,1
Dickinson State University,ND,1090,20567,0.506,Higher Learning Commission,1
University of Jamestown,ND,1041,38013,0.4904,Higher Learning Commission,2
University of Mary,ND,2416,33672,0.666,Higher Learning Commission,2
Mayville State University,ND,733,20657,0.406,Higher Learning Commission,1
Minot State University,ND,2062,19339,0.4505,Higher Learning Commission,1
University of North Dakota,ND,9981,25605,0.6048,Higher Learning Commission,1
North Dakota State University-Main Campus,ND,9471,23716,0.6389,Higher Learning Commission,1
Valley City State University,ND,958,20468,0.5333,Higher Learning Commission,1
University of Akron Main Campus,OH,9052,26284,0.5186,Higher Learning Commission,1
Art Academy of Cincinnati,OH,205,53879,0.4127,Higher Learning Commission,2
Ashland University,OH,2199,43434,0.6063,Higher Learning Commission,2
Baldwin Wallace University,OH,2842,55606,0.6677,Higher Learning Commission,2
Bluffton University,OH,582,51862,0.5294,Higher Learning Commission,2
Bowling Green State University-Main Campus,OH,12812,33007,0.6373,Higher Learning Commission,1
Capital University,OH,1585,57130,0.6027,Higher Learning Commission,2
Case Western Reserve University,OH,6437,85851,0.8717,Higher Learning Commission,2
Cedarville University,OH,4024,49320,0.7253,Higher Learning Commission,2
Central State University,OH,2620,21929,0.2281,Higher Learning Commission,1
The Christ College of Nursing and Health Sciences,OH,713,28094,0.5571,Higher Learning Commission,2
University of Cincinnati-Main Campus,OH,29882,32171,0.7496,Higher Learning Commission,1
Ohio Christian University,OH,862,35017,0.3394,Higher Learning Commission,2
Cleveland Institute of Art,OH,539,64587,0.5771,Higher Learning Commission,2
Cleveland Institute of Music,OH,159,61212,0.7213,Higher Learning Commission,2
Cleveland State University,OH,8969,27159,0.5057,Higher Learning Commission,1
Columbus College of Art & Design,OH,882,54443,0.556,Higher Learning Commission,2
University of Dayton,OH,7682,65881,0.8018,Higher Learning Commission,2
Defiance College,OH,499,53667,0.3057,Higher Learning Commission,2
Denison University,OH,2380,81900,0.789,Higher Learning Commission,2
The University of Findlay,OH,2223,54580,0.5786,Higher Learning Commission,2
Franklin University,OH,5562,30696,0.1111,Higher Learning Commission,2
Heidelberg University,OH,915,47025,0.5198,Higher Learning Commission,2
Hiram College,OH,777,40572,0.5451,Higher Learning Commission,2
John Carroll University,OH,2274,65827,0.7855,Higher Learning Commission,2
Kent State University at Kent,OH,19320,30567,0.6372,Higher Learning Commission,1
Kenyon College,OH,1732,87590,0.8234,Higher Learning Commission,2
Kettering College,OH,549,32839,0.6512,Higher Learning Commission,2
Lake Erie College,OH,852,50790,0.3795,Higher Learning Commission,2
Lourdes University,OH,543,45378,0.3246,Higher Learning Commission,2
Malone University,OH,798,49754,0.4498,Higher Learning Commission,2
Marietta College,OH,952,53709,0.6138,Higher Learning Commission,2
Mercy College of Ohio,OH,939,30260,0.5581,Higher Learning Commission,2
Miami University-Oxford,OH,16656,38757,0.7979,Higher Learning Commission,1
Mount Carmel College of Nursing,OH,532,21446,0.5385,Higher Learning Commission,2
University of Mount Union,OH,1995,49276,0.5865,Higher Learning Commission,2
Mount Vernon Nazarene University,OH,1358,49858,0.6811,Higher Learning Commission,2
Mount St. Joseph University,OH,1129,46719,0.5633,Higher Learning Commission,2
Muskingum University,OH,1376,44658,0.5637,Higher Learning Commission,2
Oberlin College,OH,2887,87404,0.8089,Higher Learning Commission,2
Ohio Dominican University,OH,760,47621,0.4102,Higher Learning Commission,2
Ohio Northern University,OH,2489,53580,0.7548,Higher Learning Commission,2
Ohio State University-Main Campus,OH,45638,30305,0.8772,Higher Learning Commission,1
Ohio University-Main Campus,OH,19633,30586,0.6545,Higher Learning Commission,1
Ohio Wesleyan University,OH,1516,68424,0.5857,Higher Learning Commission,2
Otterbein University,OH,2157,48321,0.6788,Higher Learning Commission,2
Pontifical College Josephinum,OH,60,NA,0.3158,Higher Learning Commission,2
Shawnee State University,OH,2247,21974,0.4811,Higher Learning Commission,1
Franciscan University of Steubenville,OH,2901,44580,0.7545,Higher Learning Commission,2
Tiffin University,OH,2051,48004,0.3987,Higher Learning Commission,2
University of Toledo,OH,9770,26512,0.5704,Higher Learning Commission,1
Ursuline College,OH,670,50523,0.6667,Higher Learning Commission,2
Walsh University,OH,1390,47575,0.585,Higher Learning Commission,2
Wilberforce University,OH,822,25676,0.1202,Higher Learning Commission,2
Wilmington College,OH,1006,43431,0.4727,Higher Learning Commission,2
Wittenberg University,OH,1215,57799,0.5269,Higher Learning Commission,2
The College of Wooster,OH,1730,75656,0.7394,Higher Learning Commission,2
Wright State University-Main Campus,OH,6762,24373,0.4169,Higher Learning Commission,1
Xavier University,OH,4207,65476,0.6865,Higher Learning Commission,2
Youngstown State University,OH,7961,21708,0.5048,Higher Learning Commission,1
Oklahoma Wesleyan University,OK,673,44743,0.3476,Higher Learning Commission,2
Southern Nazarene University,OK,1455,46465,0.5051,Higher Learning Commission,2
Cameron University,OK,2492,19862,0.3067,Higher Learning Commission,1
University of Central Oklahoma,OK,10170,26392,0.3676,Higher Learning Commission,1
East Central University,OK,2467,18459,0.3442,Higher Learning Commission,1
Northeastern State University,OK,4772,21551,0.3536,Higher Learning Commission,1
Northwestern Oklahoma State University,OK,1498,18672,0.3035,Higher Learning Commission,1
Oklahoma Christian University,OK,1885,39106,0.5551,Higher Learning Commission,2
Oklahoma Panhandle State University,OK,917,15055,0.2094,Higher Learning Commission,1
Oklahoma State University-Main Campus,OK,21773,28290,0.6817,Higher Learning Commission,1
Oklahoma Baptist University,OK,1308,48695,0.5237,Higher Learning Commission,2
Oklahoma City University,OK,1514,47247,0.6488,Higher Learning Commission,2
University of Oklahoma-Norman Campus,OK,22734,28872,0.7533,Higher Learning Commission,1
Oral Roberts University,OK,3487,50004,0.5683,Higher Learning Commission,2
Rogers State University,OK,2657,21064,0.2896,Higher Learning Commission,1
University of Science and Arts of Oklahoma,OK,941,20662,0.4413,Higher Learning Commission,1
Southeastern Oklahoma State University,OK,3018,18594,0.3154,Higher Learning Commission,1
Southwestern Christian University,OK,377,33305,0.1613,Higher Learning Commission,2
Southwestern Oklahoma State University,OK,3514,23334,0.3969,Higher Learning Commission,1
University of Tulsa,OK,2813,64459,0.7229,Higher Learning Commission,2
Bryn Athyn College of the New Church,PA,244,41093,0.6774,Middle States Commission on Higher Education,2
Albright College,PA,1217,43711,0.507,Middle States Commission on Higher Education,2
Allegheny College,PA,1156,71348,0.7255,Middle States Commission on Higher Education,2
DeSales University,PA,2128,62745,0.722,Middle States Commission on Higher Education,2
Alvernia University,PA,2152,57565,0.5553,Middle States Commission on Higher Education,2
Arcadia University,PA,1948,64645,0.6674,Middle States Commission on Higher Education,2
Bryn Mawr College,PA,1359,83250,0.8179,Middle States Commission on Higher Education,2
Bucknell University,PA,3876,83756,0.8632,Middle States Commission on Higher Education,2
Carlow University,PA,1348,49327,0.5992,Middle States Commission on Higher Education,2
Carnegie Mellon University,PA,7304,83654,0.9413,Middle States Commission on Higher Education,2
Cedar Crest College,PA,834,57206,0.6039,Middle States Commission on Higher Education,2
Chatham University,PA,1232,61261,0.6306,Middle States Commission on Higher Education,2
Chestnut Hill College,PA,815,58168,0.4878,Middle States Commission on Higher Education,2
Cheyney University of Pennsylvania,PA,617,26782,0.4059,Middle States Commission on Higher Education,1
Curtis Institute of Music,PA,109,NA,0.9615,Middle States Commission on Higher Education,2
Delaware Valley University,PA,1628,59933,0.5591,Middle States Commission on Higher Education,2
Dickinson College,PA,2273,82902,0.7978,Middle States Commission on Higher Education,2
Drexel University,PA,13233,76835,0.7816,Middle States Commission on Higher Education,2
Duquesne University,PA,5350,67776,0.7749,Middle States Commission on Higher Education,2
East Stroudsburg University of Pennsylvania,PA,4814,27917,0.43120000000000003,Middle States Commission on Higher Education,1
Eastern University,PA,2404,55001,0.54,Middle States Commission on Higher Education,2
Elizabethtown College,PA,1868,50865,0.7617,Middle States Commission on Higher Education,2
Franklin and Marshall College,PA,1799,85776,0.8377,Middle States Commission on Higher Education,2
Gannon University,PA,2365,52869,0.6636,Middle States Commission on Higher Education,2
Geneva College,PA,1096,45407,0.6098,Middle States Commission on Higher Education,2
Gettysburg College,PA,2099,81960,0.8253,Middle States Commission on Higher Education,2
Grove City College,PA,2216,NA,0.8317,Middle States Commission on Higher Education,2
Gwynedd Mercy University,PA,1067,55786,0.5688,Middle States Commission on Higher Education,2
Haverford College,PA,1430,90382,0.8964,Middle States Commission on Higher Education,2
Holy Family University,PA,2464,40539,0.6091,Middle States Commission on Higher Education,2
Immaculata University,PA,1320,43979,0.7104,Middle States Commission on Higher Education,2
Indiana University of Pennsylvania,PA,6764,26898,0.5551,Middle States Commission on Higher Education,1
Juniata College,PA,1191,71850,0.735,Middle States Commission on Higher Education,2
Keystone College,PA,771,32071,0.3587,Middle States Commission on Higher Education,2
King's College,PA,1484,57973,0.5989,Middle States Commission on Higher Education,2
