SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,RBIRTH2021,RBIRTH2022,RBIRTH2023,RDEATH2021,RDEATH2022,RDEATH2023,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RNETMIG2021,RNETMIG2022,RNETMIG2023
050,4,8,08,073,Colorado,Lincoln County,5674,5662,5473,5510,5480,-12,-189,37,-30,10,40,50,52,17,62,67,69,-7,-22,-17,-17,0,2,4,4,-6,-159,51,-18,-6,-157,55,-14,1,-10,-1,1,980,980,784,857,860,7.1845532106,9.1049804243,9.4631483167,11.136057476,12.200673769,12.556869882,-3.951504266,-3.095693344,-3.093721565,0.3592276605,0.7283984339,0.7279344859,-28.55859901,9.2870800328,-3.275705187,-28.19937135,10.015478467,-2.547770701
050,4,8,08,075,Colorado,Logan County,21536,21210,21006,20792,20619,-326,-204,-214,-173,60,188,192,192,55,307,282,270,5,-119,-90,-78,0,7,24,26,-268,-100,-143,-121,-268,-93,-119,-95,-63,8,-5,0,3173,2846,2695,2740,2709,8.9065757059,9.1870424422,9.2728985052,14.544248626,13.493468587,13.040013523,-5.63767292,-4.306426145,-3.767115018,0.3316278188,1.1483803053,1.2557050059,-4.737540269,-6.842432652,-5.843857912,-4.40591245,-5.694052347,-4.588152906
050,4,8,08,077,Colorado,Mesa County,155706,156011,157439,158531,159681,305,1428,1092,1150,395,1525,1445,1454,425,1903,2004,1780,-30,-378,-559,-326,1,30,55,68,334,1769,1561,1405,335,1799,1616,1473,0,7,35,3,3956,3951,3887,4132,4128,9.7304195246,9.146437953,9.1385617136,12.142287446,12.684748552,11.187510213,-2.411867922,-3.538310599,-2.0489485,0.191418089,0.3481343165,0.4273880306,11.287286649,9.8806848751,8.8305909268,11.478704738,10.228819192,9.2579789574
050,4,8,08,079,Colorado,Mineral County,868,874,929,931,944,6,55,2,13,1,4,9,7,2,7,10,11,-1,-3,-1,-4,0,0,0,0,8,62,3,19,8,62,3,19,-1,-4,0,-2,0,0,0,0,0,4.4370493622,9.6774193548,7.4666666667,7.7648363838,10.752688172,11.733333333,-3.327787022,-1.075268817,-4.266666667,0,0,0,68.774265114,3.2258064516,20.266666667,68.774265114,3.2258064516,20.266666667
050,4,8,08,081,Colorado,Moffat County,13295,13269,13165,13205,13327,-26,-104,40,122,31,148,132,135,33,159,137,113,-2,-11,-5,22,1,0,-2,-3,-25,-97,53,105,-24,-97,51,102,0,4,-6,-2,120,120,114,113,116,11.197699932,10.011376564,10.176390773,12.029961413,10.390595374,8.5180159807,-0.832261481,-0.379218809,1.6583747927,0,-0.151687524,-0.226142017,-7.339033063,4.0197193781,7.9149706015,-7.339033063,3.8680318544,7.6888285844
050,4,8,08,083,Colorado,Montezuma County,25849,25887,26234,26467,26531,38,347,233,64,62,261,243,240,57,352,379,357,5,-91,-136,-117,0,16,51,57,31,432,313,124,31,448,364,181,2,-10,5,0,262,262,260,259,262,10.015157038,9.2218363978,9.0569455451,13.507031715,14.383028785,13.472206498,-3.491874676,-5.161192387,-4.415260953,0.613955987,1.9354471452,2.151024567,16.57681165,11.878332479000001,4.679421865,17.190767637,13.813779625,6.8304464319
050,4,8,08,085,Colorado,Montrose County,42677,42818,43236,43807,44156,141,418,571,349,95,381,397,395,120,532,597,542,-25,-151,-200,-147,1,24,68,72,176,552,682,424,177,576,750,496,-11,-7,21,0,684,684,689,686,684,8.8549050596,9.1219282424,8.9810488501,12.364329375,13.717358087,12.323363232,-3.509424315,-4.595429845,-3.342314382,0.5577892951,1.5624461473,1.6370519423,12.829153787,15.670415772,9.6404169935,13.386943082,17.232861919,11.277468936
050,4,8,08,087,Colorado,Morgan County,29108,29076,29006,29266,29524,-32,-70,260,258,119,382,407,407,103,310,320,303,16,72,87,104,2,94,198,218,-51,-245,-9,-64,-49,-151,189,154,1,9,-16,0,471,471,414,414,408,13.153817017,13.968973092,13.845892159,10.674563548,10.982976387,10.307875489,2.4792534692,2.9859967051,3.5380166695,3.2368031404,6.7957166392,7.4162272495,-8.436348611,-0.308896211,-2.177241027,-5.19954547,6.4868204283,5.2389862221
050,4,8,08,089,Colorado,Otero County,18687,18664,18527,18311,18136,-23,-137,-216,-175,32,206,203,203,56,322,285,279,-24,-116,-82,-76,0,2,-2,-2,-4,-32,-132,-98,-4,-30,-134,-100,5,9,0,1,405,405,356,338,307,11.077948966,11.02122808,11.139462782,17.316017316,15.473152723,15.30990205,-6.23806835,-4.451924643,-4.170439268,0.1075529026,-0.108583528,-0.109748402,-1.720846441,-7.16651284,-5.377671688,-1.613293539,-7.275096368,-5.487420089
050,4,8,08,091,Colorado,Ouray County,4880,4882,5063,5103,5176,2,181,40,73,10,39,32,32,9,31,39,40,1,8,-7,-8,0,1,9,10,2,182,37,71,2,183,46,81,-1,-10,1,0,0,0,0,0,0,7.8431372549,6.2954947865,6.2262866038,6.2342885872,7.6726342711,7.7828582547,1.6088486677,-1.377139485,-1.556571651,0.2011060835,1.7706079087,1.9457145637,36.60130719,7.2791658469,13.814573402,36.802413273,9.0497737557,15.760287966
050,4,8,08,093,Colorado,Park County,17392,17418,17744,17921,18117,26,326,177,196,41,127,138,138,31,127,131,132,10,0,7,6,0,2,11,11,18,351,143,177,18,353,154,188,-2,-27,16,2,25,25,25,25,25,7.2237074114,7.7386793775,7.6585826072,7.2237074114,7.34613767,7.3256007548,0,0.3925417076,0.3329818525,0.1137591718,0.6168512547,0.6104667296,19.964734657,8.0190663115,9.8229646484,20.078493829,8.6359175662,10.433431378
050,4,8,08,095,Colorado,Phillips County,4533,4527,4502,4448,4476,-6,-25,-54,28,12,58,50,51,15,80,72,70,-3,-22,-22,-19,0,10,35,36,-4,-15,-67,13,-4,-5,-32,49,1,2,0,-2,69,69,60,60,60,12.847491417,11.173184358,11.429852084,17.720677816,16.089385475,15.688032273,-4.873186399,-4.916201117,-4.258180188,2.215084727,7.8212290503,8.068130883,-3.32262709,-14.97206704,2.9134917078,-1.107542363,-7.150837989,10.981622591
