SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,RBIRTH2021,RBIRTH2022,RBIRTH2023,RDEATH2021,RDEATH2022,RDEATH2023,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RNETMIG2021,RNETMIG2022,RNETMIG2023
050,1,2,36,037,New York,Genesee County,58383,58302,57889,57398,57529,-81,-413,-491,131,157,509,542,542,160,762,730,691,-3,-253,-188,-149,0,5,10,10,-84,-200,-302,272,-84,-195,-292,282,6,35,-11,-2,2041,2025,1973,2000,2012,8.7614359116,9.4026212843,9.4320742732,13.116334312,12.664047117,12.025024581,-4.3548984,-3.261425833,-2.592950308,0.0860651858,0.1734800975,0.1740235106,-3.442607431,-5.239098944,4.7334394877,-3.356542245,-5.065618847,4.9074629983
050,1,2,36,039,New York,Greene County,47932,47752,47884,47345,47062,-180,132,-539,-283,110,392,393,393,131,646,650,617,-21,-254,-257,-224,0,7,23,22,-142,366,-291,-78,-142,373,-268,-56,-17,13,-14,-3,3122,2921,2395,2381,2409,8.1977498013,8.2537882368,8.325653818,13.509557071,13.6513037,13.071064646,-5.311807269,-5.397515463,-4.745410828,0.1463883893,0.4830461309,0.4660671349,7.6540214982,-6.111583656,-1.652419842,7.8004098875,-5.628537525,-1.186352707
050,1,2,36,041,New York,Hamilton County,5105,5079,5122,5121,5082,-26,43,-1,-39,9,23,27,27,24,70,79,78,-15,-47,-52,-51,0,0,-2,-2,-10,94,48,15,-10,94,46,13,-1,-4,5,-1,120,121,124,120,122,4.5093618273,5.2718930001,5.2925610115,13.724144692,15.425168408,15.2896207,-9.214782864,-10.153275409999999,-9.997059688,0,-0.390510593,-0.392041556,18.429565729,9.3722542224,2.940311673,18.429565729,8.9817436298,2.5482701166
050,1,2,36,043,New York,Herkimer County,60144,60037,60023,59584,59484,-107,-14,-439,-100,143,631,564,563,174,794,828,776,-31,-163,-264,-213,0,5,18,16,-79,107,-171,99,-79,112,-153,115,3,37,-22,-2,1317,1291,1294,1320,1292,10.511410961,9.4308861521,9.4567809991,13.226719973,13.8453435,13.034568482,-2.715309012,-4.414457348,-3.577787483,0.0832916875,0.3009857283,0.2687539893,1.7824421123,-2.859364418,1.6629153089,1.8657337998,-2.55837869,1.9316692982
050,1,2,36,045,New York,Jefferson County,116711,116069,116902,115461,114787,-642,833,-1441,-674,495,1741,1858,1856,244,973,1076,1023,251,768,782,833,6,18,217,273,-810,5,-2504,-1772,-804,23,-2287,-1499,-89,42,64,-8,6871,6683,7004,6476,6602,14.946066249,15.992219071,16.121746986,8.3529709706,9.2613712166,8.8860706716,6.593095278,6.7308478544,7.2356763142,0.1545256706,1.8677672435,2.371356103,0.0429237974,-21.55248469,-15.39209895,0.197449468,-19.68471745,-13.02074285
050,1,2,36,047,New York,Kings County,2736119,2718447,2637522,2589531,2561225,-17672,-80925,-47991,-28306,8395,33117,32458,31066,11048,18381,18101,16892,-2653,14736,14357,14174,255,5078,14105,13292,-14297,-95883,-78188,-55308,-14042,-90805,-64083,-42016,-977,-4856,1735,-464,45983,42094,43258,45331,45473,12.366389723,12.419235083,12.062695263,6.8637439836,6.9258911283,6.5590371588,5.5026457397,5.493343955,5.5036581038,1.8962021625,5.3969225106,5.1611841058,-35.80416541,-29.91666624,-21.4756824,-33.90796325,-24.51974373,-16.3144983
050,1,2,36,049,New York,Lewis County,26587,26560,26722,26595,26548,-27,162,-127,-47,68,302,287,289,61,273,302,299,7,29,-15,-10,0,3,4,7,-35,115,-107,-44,-35,118,-103,-37,1,15,-9,0,277,277,277,283,283,11.335910814,10.765797025,10.876314849,10.247363087,11.328469344,11.252657923,1.0885477272,-0.562672318,-0.376343074,0.1126083856,0.1500459516,0.263440152,4.3166547802,-4.013729205,-1.655909527,4.4292631658,-3.863683253,-1.392469375
050,1,2,36,051,New York,Livingston County,61840,61590,61691,61340,61158,-250,101,-351,-182,144,493,518,518,141,642,672,642,3,-149,-154,-124,0,23,46,55,-224,190,-221,-114,-224,213,-175,-59,-29,37,-22,1,4586,4421,4529,4482,4538,7.9979883356,8.420641952,8.4572809352,10.415230246,10.924076046,10.481803785,-2.417241911,-2.503434094,-2.024522849,0.3731313017,0.747779015,0.8979738445,3.0823890137,-3.592590485,-1.861254878,3.4555203154,-2.84481147,-0.963281033
050,1,2,36,053,New York,Madison County,68017,67935,67382,67054,66921,-82,-553,-328,-133,146,550,547,546,157,735,711,684,-11,-185,-164,-138,0,11,47,44,-78,-403,-190,-40,-78,-392,-143,4,7,24,-21,1,4923,4913,4598,4600,4630,8.1290599112,8.137701211,8.1507743982,10.863380063,10.577523878,10.210860235,-2.734320152,-2.439822667,-2.060085837,0.1625811982,0.6992174715,0.6568389625,-5.956383899,-2.826623821,-0.59712633,-5.7938027,-2.127406349,0.059712633
050,1,2,36,055,New York,Monroe County,759430,757551,755813,750887,748482,-1879,-1738,-4926,-2405,1941,7568,7776,7776,2014,8068,7882,7332,-73,-500,-106,444,32,759,1646,1584,-1754,-2482,-6367,-4457,-1722,-1723,-4721,-2873,-84,485,-99,24,27671,26348,27151,27095,27492,10.00155944,10.321895533,10.372363307,10.662339001,10.462600385,9.780114168,-0.660779561,-0.140704852,0.5922491395,1.003063374,2.1849074136,2.1128888219,-3.280109742,-8.45158293,-5.945167601,-2.277046368,-6.266675516,-3.832278779
