NtsbNo,EventType,EventDate,City,State,Country,N,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,Latitude,Longitude,Make,Model,Operator
CEN21LA180,ACC,2021-04-03T11:13:00Z,Delavan,Wisconsin,United States,N1522C,Minor,0,0,1,42.67052,-88.716932,CESSNA,180,HANSEN ROBERT C
CEN21LA176,ACC,2021-04-03T07:30:00Z,Pearland,Texas,United States,N5240C,None,0,0,0,29.555789,-95.327993,BEECH,B35,NA
CEN21LA182,ACC,2021-04-02T12:35:00Z,Denver,Colorado,United States,N4802,None,0,0,0,40.109153,-104.71384,CESSNA,180,NA
CEN21LA175,ACC,2021-04-01T16:00:00Z,Augusta,Kansas,United States,N7274F,None,0,0,0,37.65588,-97.0599,PIPER,PA-28-140,Pray Aviation
CEN21LA178,ACC,2021-04-01T12:30:00Z,Austin,Texas,United States,N94810,None,0,0,0,30.197429,-97.666306,CESSNA,182,NA
ERA21LA167,ACC,2021-03-31T15:30:00Z,Vienna,Georgia,United States,N3299X,None,0,0,0,32.0917,-83.733,AYRES CORPORATION,S2R-G6,NA
ERA21LA168,ACC,2021-03-31T12:13:00Z,Crystal River,Florida,United States,N13632,Serious,0,1,0,28.867427,-82.57118,CESSNA,172,Aviation One
ERA21LA169,ACC,2021-03-30T14:32:00Z,Hardwick Township,New Jersey,United States,N6544G,None,0,0,0,40.990412,-74.946555,CESSNA,150L,NA
ERA21LA166,ACC,2021-03-30T10:57:00Z,Fort Pierce,Florida,United States,N236X,Serious,0,1,0,27.494306,-80.53901,JABIRU USA SPORT AIRCRAFT,J250-SP,NA
ERA21FA165,ACC,2021-03-29T18:00:00Z,Cave Spring,Georgia,United States,N800MH,Fatal,1,0,0,34.119021,-85.313169,AVIAT INC,A-1,NA
WPR21LA151,ACC,2021-03-29T15:47:00Z,Yacolt,Washington,United States,N665FL,Minor,0,0,2,45.851889,-122.2613,PIPER,PA-28-140,TREETOP FLYERS LLC
WPR21LA149,ACC,2021-03-29T12:00:00Z,Port Townsend,Washington,United States,N28461,None,0,0,0,48.053806,-122.81063,LUSCOMBE,8A,NA
DCA21LA109,ACC,2021-03-28T18:00:00Z,Charlotte,North Carolina,United States,N650AE,Serious,0,1,3,35.218578,-80.948542,EMBRAER,EMB-145LR,Piedmont Airlines
